episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
169,60,-1.3,13.0,0.05,0,0.05,0.00666,1238.6
170,60,-0.5,5.0,14.65,0,0.05,0.00739,1246.1
171,60,-0.6,6.0,-3.75,0,0.05,0.0093,1253.3
172,60,-0.6,6.0,1.65,0,0.05,0.00967,1260.8
173,60,-0.6,6.0,-3.75,0,0.05,0.01013,1268.1
174,60,-0.2,2.0,4.15,0,0.05,0.00831,1275.6
175,60,-0.2,2.0,7.1,0,0.05,0.0086,1283.1
176,60,-0.2,2.0,7.1,0,0.05,0.00931,1290.5
177,60,0.0,0.0,1.85,0,0.05,0.00853,1298.0
178,60,0.0,0.0,1.85,0,0.05,0.00922,1305.5
179,60,-1.0,10.0,-4.95,0,0.05,0.00923,1313.1
180,60,-3.2,32.0,-9.5,0,0.05,0.01145,1320.6
181,60,-2.2,22.0,-13.3,0,0.05,0.01295,1327.9
182,60,-3.6,36.0,-9.5,0,0.05,0.01233,1335.2
183,60,-0.2,2.0,3.75,0,0.05,0.01199,1342.7
184,60,-0.3,3.0,11.0,0,0.05,0.0102,1350.2
185,60,-1.2,12.0,1.2,0,0.05,0.0109,1357.6
186,60,-1.8,18.0,-6.55,0,0.05,0.00895,1365.0
187,60,-1.8,18.0,-6.55,0,0.05,0.0089,1372.5
188,60,0.0,0.0,1.85,0,0.05,0.00958,1380.0
189,60,0.0,0.0,1.85,0,0.05,0.00965,1387.5
190,60,0.0,0.0,1.85,0,0.05,0.00959,1395.0
191,60,0.0,0.0,2.05,0,0.05,0.01096,1402.5
192,60,-1.8,18.0,-5.4,0,0.05,0.01067,1410.0
193,60,-0.1,1.0,1.9,0,0.05,0.00897,1417.5
194,60,-0.5,5.0,11.5,0,0.05,0.01155,1425.1
195,60,-0.5,5.0,-0.5,0,0.05,0.01271,1432.6
196,60,-0.3,3.0,16.8,0,0.05,0.0099,1440.0
197,16,-1.6,16.0,-2.45,0,0.05,0.01004,1442.4
198,60,-2.2,22.0,-13.3,0,0.05,0.00932,1449.6
199,60,0.0,0.0,1.85,0,0.05,0.01091,1457.1
