episode,steps,reward_sum,final_material,final_phi,illegal_count,eps,mean_loss,wall_sec
183,15,-0.3,3.0,-3.2,0,0.05,0.17353,925.8
184,60,-2.4,24.0,-15.8,0,0.05,0.18831,932.6
185,60,-0.2,2.0,6.45,0,0.05,0.20951,938.4
186,7,-0.6,6.0,-2.7,0,0.05,0.21037,941.5
187,60,-0.4,4.0,1.5,0,0.05,0.17725,947.5
188,8,-0.6,6.0,-0.0,0,0.05,0.172,950.7
189,60,-0.1,1.0,7.85,0,0.05,0.13763,956.7
190,13,-0.9,9.0,-0.0,0,0.05,0.13975,959.4
191,60,-0.3,3.0,-2.85,0,0.05,0.15047,965.5
192,60,-0.8,8.0,2.1,0,0.05,0.15624,971.4
193,12,-1.0,10.0,6.55,0,0.05,0.1601,973.7
194,60,-1.0,10.0,1.35,0,0.05,0.17986,979.7
195,60,-0.1,1.0,6.7,0,0.05,0.22345,985.6
196,60,-1.6,16.0,4.6,0,0.05,0.22554,992.0
197,60,1.3,-13.0,12.45,0,0.05,0.19561,1003.8
198,60,-1.0,10.0,-3.55,0,0.05,0.17664,1009.9
199,60,-1.6,16.0,-5.65,0,0.05,0.17273,1016.2
